id;comercial_name;description;type;user_id
1;cross-platform Ruble;services;PROVIDER;1
2;scalable parsing Metal;Rústico auxiliary moderador;PROVIDER;2
3;Datos;supply-chains Algodón invoice;PROVIDER;2
4;state Bélgica;Maldivas;PROVIDER;2
5;Algodón Blanco;neural Bedfordshire compressing;COMPANY;2
6;Aragón;Berkshire Futuro Cambridgeshire;PROVIDER;2
7;Rambla Moda escalable;Andalucía initiatives;CLIENT;1
8;Investigación Norwegian Escalinata;utilize functionalities;PROVIDER;2
9;cross-platform Manat;Decoración whiteboard Credit;CLIENT;1
10;redundant connect Respuesta;Negro;PROVIDER;1
