id;code;computed_price_total;computed_quantity_total;description;unit_price_list_id;computed_price_list_id
1;Argentina Auto;25730;58757;invoice Automatizado Kwacha;1;1
2;Loan Gerente Cambridgeshire;65462;52529;ubiquitous;2;2
3;Sorprendente;52005;36654;Burundi Cambridgeshire deposit;3;3
4;Intranet wireless;35320;33413;users Rial;4;4
5;aprovechar Chilean;55592;32844;transmit TCP panel;5;5
6;Canarias por;15229;14466;capacidad maximizada;6;6
7;Ferrocarril;46683;71489;Rústico analista;7;7
8;Pequeño Comunicaciones indexing;76259;21333;Diseñador;8;8
9;integrate state synergize;9490;99963;Marroquinería Account;9;9
10;proceso disintermediate;52695;90966;hacking;10;10
