id;name;description;type;image;image_content_type
1;Supervisor Berkshire;Violeta;MATERIALES;../fake-data/blob/hipster.png;image/png
2;Bedfordshire interfaz haptic;Configurable;MANO_DE_OBRA;../fake-data/blob/hipster.png;image/png
3;Madera killer;Extremadura Alemania proactive;MATERIALES;../fake-data/blob/hipster.png;image/png
4;e-tailers Caimán Artesanal;Toallas;MANO_DE_OBRA;../fake-data/blob/hipster.png;image/png
5;Camiseta;Azul back;EQUIPOS;../fake-data/blob/hipster.png;image/png
6;Rambla;Regional logística 3rd;MANO_DE_OBRA;../fake-data/blob/hipster.png;image/png
7;hardware SSL Calidad;Camiseta out-of-the-box Universal;MANO_DE_OBRA;../fake-data/blob/hipster.png;image/png
8;Corporativo;Artesanal IB Extremadura;MANO_DE_OBRA;../fake-data/blob/hipster.png;image/png
9;Baleares invoice;open-source program RSS;MANO_DE_OBRA;../fake-data/blob/hipster.png;image/png
10;primary Compatible;alto;EQUIPOS;../fake-data/blob/hipster.png;image/png
