id;item;name;description;image;image_content_type;quantity;unit_id;provider_product_id;product_category_id
1;Acero;Asistente;cross-platform Director;../fake-data/blob/hipster.png;image/png;35091;1;1;1
2;wireless Guapo;Inversor Pound withdrawal;deposit Avenida Metal;../fake-data/blob/hipster.png;image/png;83023;2;2;2
3;Metical Increible;Subida compressing;conjunto Artesanal;../fake-data/blob/hipster.png;image/png;32770;3;3;3
4;Camino Australian;negocio;Granito;../fake-data/blob/hipster.png;image/png;95238;4;4;4
5;Negro Práctico;Tácticas Dinánmico Música;Extremadura Azul Camerún;../fake-data/blob/hipster.png;image/png;27546;5;5;5
6;hibrida Calleja;Patatas Configurable Solar;Inteligente;../fake-data/blob/hipster.png;image/png;88292;6;6;6
7;Checking Account Renminbi;Consultor online;productividad hacking efficient;../fake-data/blob/hipster.png;image/png;50702;7;7;7
8;Seguridada AGP Violeta;navigate brand up;systems Inteligente;../fake-data/blob/hipster.png;image/png;6953;8;8;8
9;Ergonómico relationships back-end;instalación Zimbabwe Electrónica;Account transmit Fantástico;../fake-data/blob/hipster.png;image/png;88593;9;9;9
10;Global Decoración Plástico;Pantalones bypassing Gerente;Turquia;../fake-data/blob/hipster.png;image/png;80985;10;10;10
