id;name;description;type;status;project_id
1;disintermediate División up;JSON impactful;EXCAVACION;COMPLETE;1
2;Andalucía;Parafarmacia;ZANJAS;COMPLETE;2
3;Violeta;Fantástico fritas program;OTRO;COMPLETE;1
4;Pollo;Coordinador;DE;COMPLETE;1
5;Sum;deposit Puerta GB;DE;COMPLETE;2
6;Madera;distributed;RELLENO;DRAFT;2
7;collaborative;deposit;RELLENO;COMPLETE;1
8;infrastructures Artesanal Credit;incentivize;OTRO;COMPLETE;2
9;microchip;Berkshire Amarillo Extremadura;OTRO;DISCARD;1
10;Dollar integrated;Violeta FTP Burkina;OTRO;DISCARD;1
