id;code;dimension;quantity;description;project_item_list_id;item_id;unit_id
1;Borders bypass;visualize Mejorado;67648;Parcela Kwacha optical;1;1;1
2;Heredado;Quinta Intercambiable;72910;frictionless compress Arquitecto;2;2;2
3;Berkshire;Metal;3149;overriding;3;3;3
4;Técnico;Guapo Guapa;41051;deliver Algodón hack;4;4;4
5;fritas;y back calculate;54125;Amarillo Factores;5;5;5
6;alarm Cambridgeshire;programming;22514;servidor;6;6;6
7;dynamic Increible;Navarra Dirham Madera;14778;Patatas Rústico;7;7;7
8;Avon Marca;maximizada Bacon;60280;Cabo Centrado;8;8;8
9;Parcela;Queso navigating synergies;20808;a one-to-one;9;9;9
10;bypassing Vía;parsing overriding;83357;quantify estrategia Loan;10;10;10
