id;name;description;cost;provider_id;unit_id;item_id
1;Compatible Avon Investigación;Macao;1664;1;1;1
2;Canarias;Mobilidad Samoa;17130;2;2;2
3;monitor visualize;Genérico;15230;2;3;3
4;Persistente Amarillo;Ergonómico;41477;2;4;4
5;back algoritmo array;Bedfordshire alarm Negro;36897;1;5;5
6;evolve Rojo Avon;Atún y Deportes;30569;1;6;6
7;bypass;Savings;97480;1;7;7
8;Increible Castilla-La Electrónica;Artesanal;25860;1;8;8
9;Calle plug-and-play;Increible Joyería Hryvnia;10981;2;9;9
10;Borders Salud;Conjunto Metal;6361;2;10;10
