id;name;description;symbol;type
1;Decoración;colaboración Berkshire Pescado;Violeta Fantástico Ensalada;AMOUNT
2;override;Taka;Account invoice;AMOUNT
3;portals system;Música hacking;synthesizing;MONEY
4;Seguro Dinánmico;Especialista;schemas Digitalizado;AMOUNT
5;IB Artesanal Guantes;Dirham 24/7 revolutionize;compress Corporativo;MONEY
6;Práctico;payment;Buckinghamshire leading-edge Bedfordshire;MASS_OR_WEIGHT
7;Castilla system;microchip;alianza;VOLUME
8;Patatas eyeballs Región;Pollo Pizza Deportes;Costa Rioja Operativo;AMOUNT
9;Videojuegos;Checking;Juguetería Bebes;MONEY
10;Sopa Account Configuración;estructura back-end;Calle Adelante compress;MASS_OR_WEIGHT
