id;code;unit_price_total;description;unit_price_list_id
1;Verde Refinado;53786;Director Violeta Actualizable;1
2;neural;64336;Digitalizado bandwidth;2
3;Producto communities;43900;de PNG regional;3
4;invoice;99848;withdrawal;4
5;alarm;24664;Morado;5
6;program sexy Ronda;4702;Plástico vía Increible;6
7;Artesanal Opcional navigate;82707;pixel Manat;7
8;Bangladesh Buckinghamshire trabajo;73992;Ejecutivo Nacional;8
9;Berkshire navigate Implementado;49718;Cataluña Región Open-source;9
10;Salchichas;17204;por;10
